id,address,city,state,zip,county,Activities,pet_friendly,camp_type,natural_features,num_enc
188,"3420 Horseshoe Circle","Montgomery ",AL,36116,Montgomery,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",38
189,"463 Pecan Tree Drive","Montgomery ",AL,36109,Montgomery,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",38
190,"3617 Menlo Court","Montgomery ",AL,36116,Montgomery,"Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",38
191,"2572 Drake Street","Montgomery ",AL,36108,Montgomery,"Boating, Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",38
192,"2543 The Meadows","Montgomery ",AL,36116,Montgomery,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",38
193,"7071 Senators Drive","Montgomery ",AL,36117,Montgomery,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",38
194,"2248 South Sutherland Drive","Montgomery ",AL,36116,Montgomery,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",38
195,"2212 Greenville Street","Montgomery ",AL,36107,Montgomery,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",38
196,"3617 Oak Grove Circle","Montgomery ",AL,36116,Montgomery,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",38
197,"9436 Briarlea Court","Montgomery ",AL,36117,Montgomery,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",38
198,"1230 Stafford Drive","Montgomery ",AL,36117,Montgomery,Hiking,YES,"Lodging, RVs, Tents",Forest,38
199,"164 Tensaw Road","Montgomery ",AL,36117,Montgomery,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",38
200,"204 North Holt Street","Montgomery ",AL,36104,Montgomery,"Climbing, Hiking",NO,Tents,"Forest, Mountains",38
201,"1044 Stokes Road","Montgomery ",AL,36110,Montgomery,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",38
202,"3394 Wilmington Road","Montgomery ",AL,36105,Montgomery,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",38
203,"1217 Cottondale Road","Montgomery ",AL,36109,Montgomery,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",38
204,"3437 Sommerville Drive","Montgomery ",AL,36111,Montgomery,Hiking,YES,"Lodging, RVs, Tents",Forest,38
205,"5840 Eagle Circle","Montgomery ",AL,36116,Montgomery,"Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",38
206,"3340 Woodpark Drive","Montgomery ",AL,36116,Montgomery,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",38
207,"117 South Capitol Parkway","Montgomery ",AL,36107,Montgomery,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",38
208,"1417 Stoneykirk Road","Pelham ",AL,35124,Shelby,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",9
209,"6005 Tamarack Drive","Montgomery ",AL,36117,Montgomery,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",38
210,"4739 South Court Street","Montgomery ",AL,36105,Montgomery,Hiking,YES,"Lodging, RVs, Tents",Forest,38
211,"2130 Winona Avenue","Montgomery ",AL,36107,Montgomery,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",38
212,"9134 Brook Park Drive","Montgomery ",AL,36117,Montgomery,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",38
213,"8554 Twin Gable Drive","Montgomery ",AL,36116,Montgomery,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",38
214,"1361 Barret Park Way","Montgomery ",AL,36117,Montgomery,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",38
215,"3328 Sunny Meadows Court","Birmingham ",AL,35242,Shelby,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",9
216,"2315 Chestnut Street","Montgomery ",AL,36107,Montgomery,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",38
217,"1145 Chaseway Drive","Pike Road ",AL,36064,Montgomery,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",38
218,"833 Williamson Road","Montgomery ",AL,36109,Montgomery,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",38
219,"507 Castlebrook Drive","Montgomery ",AL,36110,Montgomery,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",38
220,"3300 Crystal Road","Montgomery ",AL,36110,Montgomery,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",38
221,"5836 Red Barn Road","Montgomery ",AL,36116,Montgomery,"Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",38
222,"1332 Maple Street","Montgomery ",AL,36108,Montgomery,Hiking,NO,"Lodging, RVs, Tents",Forest,38
223,"912 Countryside Lane","Montgomery ",AL,36117,Montgomery,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",38
224,"8293 Grayson Grove","Montgomery ",AL,36117,Montgomery,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",38
225,"5680 Eddins Road","Montgomery ",AL,36117,Montgomery,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",38
226,"1163 Rosedale Drive","Montgomery ",AL,36107,Montgomery,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",38
227,"2024 Merrily Drive","Montgomery ",AL,36111,Montgomery,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",38
228,"33 South Hill Avenue","Fayetteville ",AR,72701,Washington,Hiking,YES,"Lodging, RVs, Tents",Forest,54
229,"831 West Center Street","Fayetteville ",AR,72701,Washington,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",54
230,"890 East Skyline Drive","Fayetteville ",AR,72701,Washington,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",54
231,"4430 Davenport Street Northwest","Washington ",AR,20016,"District of Columbia","Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
232,"1504 P Street Northwest","Washington ",AR,20005,"District of Columbia","Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",0
233,"120 North Block Avenue","Fayetteville ",AR,72701,Washington,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",54
234,"335 C Street Southeast","Washington ",AR,20003,"District of Columbia",Hiking,YES,"Lodging, RVs, Tents",Forest,0
235,"3384 North Southridge Drive","Fayetteville ",AR,72703,Washington,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",54
236,"1219 North Storer Avenue","Fayetteville ",AR,72703,Washington,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",54
237,"5575 South Dakota Avenue Northeast","Washington ",AR,20011,"District of Columbia","Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
238,"623 Rhode Island Avenue Northwest","Washington ",AR,20001,"District of Columbia","Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",0
239,"2355 Pearl Point","Fayetteville ",AR,72701,Washington,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",54
240,"2324 North Briarwood Lane","Fayetteville ",AR,72703,Washington,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",54
241,"3164 West Woodfield Way","Fayetteville ",AR,72704,Washington,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",54
242,"2311 West Lawson Street","Fayetteville ",AR,72703,Washington,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",54
243,"4603 Grant Street Northeast","Washington ",AR,20019,"District of Columbia","Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
244,"3034 Mica Street","Fayetteville ",AR,72704,Washington,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",54
245,"22 South Duncan Avenue","Fayetteville ",AR,72701,Washington,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",54
246,"923 K Street Northeast","Washington ",AR,20002,"District of Columbia",Hiking,YES,"Lodging, RVs, Tents",Forest,0
247,"321 Kentucky Avenue Southeast","Washington ",AR,20003,"District of Columbia","Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",0
248,"1707 6th Street Northwest","Washington ",AR,20001,"District of Columbia","Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",0
249,"1544 Kenilworth Avenue Northeast","Washington ",AR,20019,"District of Columbia","Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
250,"1380 Quincy Street Northwest","Washington ",AR,20011,"District of Columbia","Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",0
251,"354 North University Avenue","Fayetteville ",AR,72701,Washington,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",54
252,"6419 8th Street Northwest","Washington ",AR,20012,"District of Columbia",Hiking,NO,"Lodging, RVs, Tents",Forest,0
253,"3811 W Street Southeast","Washington ",AR,20020,"District of Columbia","Boating, Fishing, Swimming",NO,RVs,"Lake, River or Creek",0
254,"2201 Marks Mill Lane","Fayetteville ",AR,72703,Washington,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",54
255,"1261 Steamboat Drive","Fayetteville ",AR,72704,Washington,"Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",54
256,"7350 West Wedington Drive","Fayetteville ",AR,72704,Washington,"Climbing, Hiking",NO,Tents,"Forest, Mountains",54
257,"17 West 26th Circle","Fayetteville ",AR,72701,Washington,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",54
258,"3138 P Street Northwest","Washington ",AR,20007,"District of Columbia",Hiking,YES,"Lodging, RVs, Tents",Forest,0
259,"827 10th Street Northeast","Washington ",AR,20002,"District of Columbia","Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",0
260,"1608 Gales Street Northeast","Washington ",AR,20002,"District of Columbia","Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",0
261,"4130 Legation Street Northwest","Washington ",AR,20015,"District of Columbia","Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
262,"1 Logan Circle Northwest","Washington ",AR,20005,"District of Columbia","Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",0
263,"102 Old Depot Road","Farmington ",AR,72730,Washington,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",54
264,"1233 Paradise Lane","Fayetteville ",AR,72701,Washington,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",54
265,"1636 Church Street Northwest","Washington ",AR,20036,"District of Columbia","Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",0
266,"5619 Clay Place Northeast","Washington ",AR,20019,"District of Columbia","Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",0
267,"2507 R Street Southeast","Washington ",AR,20020,"District of Columbia","Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
268,"2130 Loren Circle","Fayetteville ",AR,72701,Washington,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",54
269,"1649 Timberridge Court","Fayetteville ",AR,72704,Washington,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",54
270,"832 51st Street Northeast","Washington ",AR,20019,"District of Columbia",Hiking,YES,"Lodging, RVs, Tents",Forest,0
271,"3782 North Front Street","Fayetteville ",AR,72703,Washington,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",54
272,"349 North Sabine Pass Road","Fayetteville ",AR,72704,Washington,"Climbing, Hiking",NO,Tents,"Forest, Mountains",54
273,"357 Chaplin Street Southeast","Washington ",AR,20019,"District of Columbia","Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
274,"1559 Alabama Avenue Southeast","Washington ",AR,20032,"District of Columbia","Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",0
275,"5124 E Street Southeast","Washington ",AR,20019,"District of Columbia","Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",0
276,"316 20th Street Northeast","Washington ",AR,20002,"District of Columbia",Hiking,YES,"Lodging, RVs, Tents",Forest,0
277,"3325 Dix Street Northeast","Washington ",AR,20019,"District of Columbia","Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",0
278,"1653 Brooks Avenue","Fayetteville ",AR,72701,Washington,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",54
279,"3729 East Mission Boulevard","Fayetteville ",AR,72703,Washington,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",54
280,"1931 West Deane Street","Fayetteville ",AR,72703,Washington,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",54
281,"4075 North Cadillac Drive","Fayetteville ",AR,72703,Washington,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",54
282,"2723 East Joyce Boulevard","Fayetteville ",AR,72703,Washington,Hiking,YES,"Lodging, RVs, Tents",Forest,54
283,"4510 Eastern Avenue Northeast","Washington ",AR,20018,"District of Columbia","Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",0
284,"2787 West Blackstone Crossing","Fayetteville ",AR,72704,Washington,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",54
285,"601 Farragut Place Northeast","Washington ",AR,20017,"District of Columbia","Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",0
286,"1731 West 18th Street","Fayetteville ",AR,72701,Washington,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",54
287,"760 11th Street Southeast","Washington ",AR,20003,"District of Columbia","Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",0
288,"712 Parkside Place Northeast","Washington ",AR,20019,"District of Columbia","Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",0
289,"7034 West John Garrison Road","Fayetteville ",AR,72704,Washington,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",54
290,"7296 West Wedington Drive","Fayetteville ",AR,72704,Washington,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",54
291,"1405 Monroe Street Northeast","Washington ",AR,20017,"District of Columbia","Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
292,"2716 30th Street Southeast","Washington ",AR,20020,"District of Columbia","Climbing, Hiking, Biking",NO,RVs,"Forest, Mountains",0
293,"3111 West Ika Lane","Fayetteville ",AR,72704,Washington,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",54
294,"1820 22nd Street Southeast","Washington ",AR,20020,"District of Columbia",Hiking,NO,"Lodging, RVs, Tents",Forest,0
295,"2622 Martin Luther King Junior Boulevard","Fayetteville ",AR,72704,Washington,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",54
296,"2521 Naylor Road Southeast","Washington ",AR,20020,"District of Columbia","Climbing, Hiking",NO,RVs,"Forest, Mountains",0
297,"971 Zenith Loop","Fayetteville ",AR,72701,Washington,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",54
298,"1710 Massachusetts Avenue Southeast","Washington ",AR,20003,"District of Columbia","Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",0
299,"5302 1st Street Northwest","Washington ",AR,20011,"District of Columbia","Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",0
300,"7 Underwood Place Northwest","Washington ",AR,20012,"District of Columbia",Hiking,NO,"Lodging, RVs, Tents",Forest,0
301,"4695 East Huntsville Road","Fayetteville ",AR,72701,Washington,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",54
302,"2017 North Hartford Drive","Fayetteville ",AR,72701,Washington,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",54
303,"333 Saint Charles Avenue","Fayetteville ",AR,72701,Washington,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",54
304,"3425 North Futrall Drive","Fayetteville ",AR,72703,Washington,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",54
305,"112 3rd Street Northeast","Washington ",AR,20002,"District of Columbia","Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",0
306,"7700 Morningside Drive Northwest","Washington ",AR,20012,"District of Columbia",Hiking,NO,"Lodging, RVs, Tents",Forest,0
307,"421 Madison Street Northeast","Washington ",AR,20011,"District of Columbia","Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",0
308,"2027 North Shannon Drive","Fayetteville ",AR,72703,Washington,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",54
309,"906 West Berry Street","Fayetteville ",AR,72701,Washington,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",54
310,"2224 East Tall Oaks Drive","Fayetteville ",AR,72703,Washington,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",54
311,"210 Seaman","McCrory ",AR,72101,Woodruff,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",0
312,"1729 Frankford Street Southeast","Washington ",AR,20020,"District of Columbia","Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",0
313,"6342 West Wheeler Road","Fayetteville ",AR,72704,Washington,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",54
314,"702 Farragut Street Northwest","Washington ",AR,20011,"District of Columbia","Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",0
315,"3770 North Front Street","Fayetteville ",AR,72703,Washington,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",54
316,"2222 Martin Luther King Junior Boulevard","Fayetteville ",AR,72701,Washington,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",54
317,"3146 North Old Wire Road","Fayetteville ",AR,72703,Washington,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",54
318,"1838 North Scull Creek Drive","Fayetteville ",AR,72703,Washington,Hiking,YES,"Lodging, RVs, Tents",Forest,54
319,"5156 South Dakota Avenue Northeast","Washington ",AR,20017,"District of Columbia","Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",0
320,"3323 Summerhill Drive","Fayetteville ",AR,72703,Washington,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",54
321,"4341 Ponds Street Northeast","Washington ",AR,20019,"District of Columbia","Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
322,"618 Ava Circle Northeast","Washington ",AR,20017,"District of Columbia","Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",0
323,"606 National Street","Fayetteville ",AR,72701,Washington,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",54
324,"2522 South College Drive","Fayetteville ",AR,72701,Washington,Hiking,YES,"Lodging, RVs, Tents",Forest,54
325,"1333 Farragut Street Northwest","Washington ",AR,20011,"District of Columbia","Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",0
326,"1514 16th Street Southeast","Washington ",AR,20020,"District of Columbia","Climbing, Hiking, Biking",NO,RVs,"Forest, Mountains",0
327,"905 C Street Northeast","Washington ",AR,20002,"District of Columbia","Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
328,"836 Lamont Street Northwest","Washington ",AR,20010,"District of Columbia","Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",0
329,"4667 Benning Road Southeast","Washington ",AR,20019,"District of Columbia","Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",0
330,"5000 V Street Northwest","Washington ",AR,20007,"District of Columbia",Hiking,YES,"Lodging, RVs, Tents",Forest,0
331,"481 East Redbud Lane","Fayetteville ",AR,72703,Washington,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",54
332,"2850 Davenport Street Northwest","Washington ",AR,20008,"District of Columbia","Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",0
